gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name
2991375315																										BRA:UFMG:BHCB:174663									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:174663	174663	237	Vale, AA; Dittrich, VAO; Vale, JA									PRESENT																			2013-02-12T00:00:00				2013	2	12												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Arredores do Parque Estadual do Rio Preto, Pico Dois Irmãos.								-18.212222	-43.308611																																																	Minaria T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria				GENUS				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:43.536Z	1671.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	7312220	7312220	6	7707728	220	412	6701	7312220				Minaria	Minaria T.U.P.Konno & Rapini	Minaria		DWC_ARCHIVE	2021-01-08T12:19:43.536Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.286_1	Felício dos Santos	BRA.13.286.1_1	Felício dos Santos
2991374308																										BRA:UFMG:BHCB:86289									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:86289	86289	1258	Viana, PL; Mota, NFO; Salino, A; Rai, G do									PRESENT							Erva com látex branco. Flores cor creme.; Campo limpo de altitude.												2003-12-05T00:00:00				2003	12	5												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto																																														2008-04-01T00:00:00												Minaria campanuliflora Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		campanuliflora		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.882Z	1500.0	0.0					AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3577078	3577078	6	7707728	220	412	6701	7312220		3577078	Minaria campanuliflora	Minaria	Minaria campanuliflora Rapini	Minaria campanuliflora		DWC_ARCHIVE	2021-01-08T12:19:36.882Z	2021-01-08T12:15:08.152Z	false											
2991373305																										BRA:UFMG:BHCB:86770									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:86770	86770	1195	Viana, PL; Sobral, M; Mota, RC da; Leite, FSF; Lorenz, AP									PRESENT							Erva. Flores brancas.; Campo limpo.												2003-10-30T00:00:00				2003	10	30												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto																																														2006-07-01T00:00:00												Minaria campanuliflora Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		campanuliflora		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:41.980Z	1500.0	0.0					AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3577078	3577078	6	7707728	220	412	6701	7312220		3577078	Minaria campanuliflora	Minaria	Minaria campanuliflora Rapini	Minaria campanuliflora		DWC_ARCHIVE	2021-01-08T12:19:41.980Z	2021-01-08T12:15:08.152Z	false											
2991371310																										BRA:UFMG:BHCB:107833									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:107833	107833	2767	Viana, PL; Mota, NFO; Teles, AM; Batista, JAN; Mota, RC da									PRESENT							Flores creme. Látex branco.; Campo rupestre.												2007-03-21T00:00:00				2007	3	21												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto								-18.2	-43.316667																																					2008-01-01T00:00:00												Minaria parva (Silveira) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		parva		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.969Z	1450.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3576983	3576983	6	7707728	220	412	6701	7312220		3576983	Minaria parva	Minaria	Minaria parva (Silveira) T.U.P.Konno & Rapini	Minaria parva		DWC_ARCHIVE	2021-01-08T12:19:36.969Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.287_1	Felisberto Caldeira	BRA.13.287.1_1	São Goncalo do Rio Preto
2991371302																										BRA:UFMG:BHCB:83680									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:83680	83680	2640	Magalhães, GM									PRESENT							Herbácea. Flor castanho-escura.; Campo úmido.												1942-11-20T00:00:00				1942	11	20												SOUTH_AMERICA				BR	Minas Gerais		Caeté	Serra do Córrego das Congonhas																																														2008-01-01T00:00:00												Minaria polygaloides (Silveira) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		polygaloides		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.841Z							AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3576974	3576974	6	7707728	220	412	6701	7312220		3576974	Minaria polygaloides	Minaria	Minaria polygaloides (Silveira) T.U.P.Konno & Rapini	Minaria polygaloides		DWC_ARCHIVE	2021-01-08T12:19:36.841Z	2021-01-08T12:15:08.152Z	false											
2991370311																										BRA:UFMG:BHCB:107819									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:107819	107819	2753	Viana, PL; Mota, NFO; Teles, AM; Batista, JAN; Mota, RC da									PRESENT							Densos arbustos com flores cremes. Látex branco.; Campo rupestre.												2007-03-21T00:00:00				2007	3	21												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto								-18.2	-43.316667																																																	Minaria refractifolia (K.Schum.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		refractifolia		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:42.440Z	1450.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3576967	3576967	6	7707728	220	412	6701	7312220		3576967	Minaria refractifolia	Minaria	Minaria refractifolia (K.Schum.) T.U.P.Konno & Rapini	Minaria refractifolia		DWC_ARCHIVE	2021-01-08T12:19:42.440Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.287_1	Felisberto Caldeira	BRA.13.287.1_1	São Goncalo do Rio Preto
2991370306																										BRA:UFMG:BHCB:88094									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:88094	88094	1577	Viana, PL; Mota, NFO; Melo, PHA de; Morais, PO									PRESENT							Flores de coloração creme, com aroma fétido. Frutos imaturos verdes.												2004-04-02T00:00:00				2004	4	2												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto								-18.207028	-43.333444																																					2008-04-01T00:00:00												Minaria ditassoides (Silveira) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		ditassoides		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:42.275Z	1450.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577047	3577047	6	7707728	220	412	6701	7312220		3577047	Minaria ditassoides	Minaria	Minaria ditassoides (Silveira) T.U.P.Konno & Rapini	Minaria ditassoides		DWC_ARCHIVE	2021-01-08T12:19:42.275Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.287_1	Felisberto Caldeira	BRA.13.287.1_1	São Goncalo do Rio Preto
2991369327																										BRA:UFMG:BHCB:151713									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:151713	151713	s.n.	Mendes, MS									PRESENT							Trepadeira.; Formação campestre sobre quartzito.												2010-04-22T00:00:00				2010	4	22												SOUTH_AMERICA				BR	Minas Gerais		Rio Acima	Rio do Peixe, Região Nova Quartzito, bacia do córrego Volta Grande.								-20.111111	-43.893333																																																	Minaria acerosa (Mart.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		acerosa		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:37.566Z	1306.0	62.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577092	3577092	6	7707728	220	412	6701	7312220		3577092	Minaria acerosa	Minaria	Minaria acerosa (Mart.) T.U.P.Konno & Rapini	Minaria acerosa		DWC_ARCHIVE	2021-01-08T12:19:37.566Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.523_1	Nova Lima	BRA.13.523.1_1	Nova Lima
2991369319																										BRA:UFMG:BHCB:127134									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:127134	127134	3513	Mota, RC da; Santos, LM; Arruda, L									PRESENT							Erva, corolas creme.; Campo rupestre laterítico.												2008-07-17T00:00:00				2008	7	17												SOUTH_AMERICA				BR	Minas Gerais		Sabará	Mina do Segredão								-19.833333	-43.766667																																					2009-01-01T00:00:00												Minaria acerosa (Mart.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		acerosa		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:37.182Z	1200.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577092	3577092	6	7707728	220	412	6701	7312220		3577092	Minaria acerosa	Minaria	Minaria acerosa (Mart.) T.U.P.Konno & Rapini	Minaria acerosa		DWC_ARCHIVE	2021-01-08T12:19:37.182Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.662_1	Sabará	BRA.13.662.3_1	Ravena
2991369305																										BRA:UFMG:BHCB:88131									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:88131	88131	1617	Viana, PL; Mota, NFO; Melo, PHA de; Morais, PO									PRESENT							Trepadeira, flores amarelas e látex branco abundante.; Vegetação rupestre.												2004-04-03T00:00:00				2004	4	3												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto, Próximo a Lapa do Anísio.								-18.201111	-43.338806																																					2006-08-01T00:00:00												Minaria decussata (Mart.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		decussata		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.865Z	1320.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577062	3577062	6	7707728	220	412	6701	7312220		3577062	Minaria decussata	Minaria	Minaria decussata (Mart.) T.U.P.Konno & Rapini	Minaria decussata		DWC_ARCHIVE	2021-01-08T12:19:36.865Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.287_1	Felisberto Caldeira	BRA.13.287.1_1	São Goncalo do Rio Preto
2991368322																										BRA:UFMG:BHCB:195943									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:195943	195943	50	Júlio, JL; Alvarenga, APS; Lima, RM; Rocha, ABS									PRESENT							Rupícola.; Campo rupestre sobre rochas.												2019-06-01T00:00:00				2019	6	1												SOUTH_AMERICA				BR	Minas Gerais		Nova União	Altamira de Cima, Trilha para parte alta da Cachoeira Alta.								-19.515556	-43.572222																																					2019-06-01T00:00:00												Minaria decussata (Mart.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		decussata		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:38.465Z	1350.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577062	3577062	6	7707728	220	412	6701	7312220		3577062	Minaria decussata	Minaria	Minaria decussata (Mart.) T.U.P.Konno & Rapini	Minaria decussata		DWC_ARCHIVE	2021-01-08T12:19:38.465Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.529_1	Nova União	BRA.13.529.1_1	Nova União
2991368301																										BRA:UFMG:BHCB:83580									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:83580	83580	4440A	Magalhães, GM									PRESENT							Subarbusto. Flor alva.; Campo.												1943-11-11T00:00:00				1943	11	11												SOUTH_AMERICA				BR	Minas Gerais		Betim	Serra do Rola Moça																																														2006-08-01T00:00:00												Minaria monocoronata (Rapini) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		monocoronata		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.687Z							AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3576991	3576991	6	7707728	220	412	6701	7312220		3576991	Minaria monocoronata	Minaria	Minaria monocoronata (Rapini) T.U.P.Konno & Rapini	Minaria monocoronata		DWC_ARCHIVE	2021-01-08T12:19:36.687Z	2021-01-08T12:15:08.152Z	false											
2991367329																										BRA:UFMG:BHCB:151714									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:151714	151714	s.n.	Mendes, MS									PRESENT							Trepadeira.; Formação de canga.												2010-04-15T00:00:00				2010	4	15												SOUTH_AMERICA				BR	Minas Gerais		Rio Acima	Rio do Peixe, Região da Mina de Capitão do Mato.								-20.128333	-43.911944																																																	Minaria decussata (Mart.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		decussata		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:37.505Z	1378.5	51.5					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577062	3577062	6	7707728	220	412	6701	7312220		3577062	Minaria decussata	Minaria	Minaria decussata (Mart.) T.U.P.Konno & Rapini	Minaria decussata		DWC_ARCHIVE	2021-01-08T12:19:37.505Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.523_1	Nova Lima	BRA.13.523.1_1	Nova Lima
2991367320																										BRA:UFMG:BHCB:107830									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:107830	107830	2764	Viana, PL; Mota, NFO; Teles, AM; Batista, JAN; Mota, RC da									PRESENT							Flores cremes, fétidas, látex branco.; Campo rupestre.												2007-03-21T00:00:00				2007	3	21												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto								-18.2	-43.316667																																					2008-01-01T00:00:00												Minaria ditassoides (Silveira) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		ditassoides		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.929Z	1450.0	0.0					GEODETIC_DATUM_ASSUMED_WGS84;AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		true	false	3577047	3577047	6	7707728	220	412	6701	7312220		3577047	Minaria ditassoides	Minaria	Minaria ditassoides (Silveira) T.U.P.Konno & Rapini	Minaria ditassoides		DWC_ARCHIVE	2021-01-08T12:19:36.929Z	2021-01-08T12:15:08.152Z	false				BRA	Brazil	BRA.13_1	Minas Gerais	BRA.13.287_1	Felisberto Caldeira	BRA.13.287.1_1	São Goncalo do Rio Preto
2991367312																										BRA:UFMG:BHCB:89078									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:89078	89078	259	Costa, FN; Sano, PT									PRESENT							Arbusto latescente, ca. 50 cm alt. Cálice verde. Pétalas amarelas.; Fenda de rocha.												2001-05-01T00:00:00				2001	5	1												SOUTH_AMERICA				BR	Minas Gerais		Diamantina	Estrada para Guinda - São João da Chapada, ca. 10 km depois da entrada para Guinda.																																														2006-08-01T00:00:00												Minaria decussata (Mart.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		decussata		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.780Z							AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3577062	3577062	6	7707728	220	412	6701	7312220		3577062	Minaria decussata	Minaria	Minaria decussata (Mart.) T.U.P.Konno & Rapini	Minaria decussata		DWC_ARCHIVE	2021-01-08T12:19:36.780Z	2021-01-08T12:15:08.152Z	false											
2991367311																										BRA:UFMG:BHCB:86288									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:86288	86288	1261	Viana, PL; Mota, NFO; Salino, A; Rai, G do									PRESENT							Erva com látex branco. Flores cor creme.; Campo limpo de altitude.												2003-12-05T00:00:00				2003	12	5												SOUTH_AMERICA				BR	Minas Gerais		São Gonçalo do Rio Preto	Parque Estadual do Rio Preto																																														2008-04-01T00:00:00												Minaria parva (Silveira) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		parva		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.745Z	1400.0	0.0					AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3576983	3576983	6	7707728	220	412	6701	7312220		3576983	Minaria parva	Minaria	Minaria parva (Silveira) T.U.P.Konno & Rapini	Minaria parva		DWC_ARCHIVE	2021-01-08T12:19:36.745Z	2021-01-08T12:15:08.152Z	false											
2991367305																										BRA:UFMG:BHCB:80914									pt	CC_BY_NC_4_0			2020-12-11T14:31:54Z								BHCB - Herbário da Universidade Federal de Minas Gerais							Collection					Universidade Federal de Minas Gerais	BHCB	BHCB - Herbário da Universidade Federal de Minas Gerais	Universidade Federal de Minas Gerais	PRESERVED_SPECIMEN				BRA:UFMG:BHCB:80914	80914	4271	Magalhães, GM									PRESENT							Subarbusto 0,3m, flor amarelada.; Campo.																														SOUTH_AMERICA				BR	Minas Gerais			Serra do Cipó, Km 130.																																														2008-04-01T00:00:00												Minaria micromeria (Decne.) T.U.P.Konno & Rapini								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Minaria		micromeria		SPECIES				ACCEPTED			d2470ef8-edfa-4ba7-821e-c3e1a537bdba	BR	2021-01-08T12:19:36.696Z							AMBIGUOUS_INSTITUTION;COLLECTION_MATCH_FUZZY		false	false	3577002	3577002	6	7707728	220	412	6701	7312220		3577002	Minaria micromeria	Minaria	Minaria micromeria (Decne.) T.U.P.Konno & Rapini	Minaria micromeria		DWC_ARCHIVE	2021-01-08T12:19:36.696Z	2021-01-08T12:15:08.152Z	false											
