"","Habenaria_ciliatisepala","Habenaria_hippocrepica","Habenaria_espinhacensis","Habenaria_reflexicalcar","Habenaria_crucifera","Habenaria_subviridis","Habenaria_lavrensis","Habenaria_josephensis","Habenaria_nuda","Habenaria_magniscutata","Habenaria_mystacina","Habenaria_heringeri","Habenaria_obtusa","Habenaria_parviflora","Habenaria_petalodes","Habenaria_setacea","Habenaria_imbricata","Habenaria_hamata","Habenaria_guilleminii","Habenaria_rupicola","Habenaria_quadriferricola","Habenaria_humilis","Habenaria_caldensis","Habenaria_pleiophylla","Habenaria_balansae","Habenaria_spathulifera","Habenaria_secundiflora","Habenaria_leucosantha","Habenaria_trifida","Habenaria_urbaniana","Habenaria_subfiliformis","Habenaria_culicina","Habenaria_anisitsii","Habenaria_pungens","Habenaria_armata","Habenaria_pratensis","Habenaria_bractescens","Habenaria_achalensis","Habenaria_cryptophila","Habenaria_brevidens","Habenaria_edwallii","Habenaria_tamanduensis","Habenaria_magdalenensis","Habenaria_pubidactyla","Habenaria_pseudohamata","Habenaria_rodeiensis","Habenaria_ayangannensis","Habenaria_schwackei","Habenaria_pabstii","Habenaria_coxipoensis","Habenaria_curvilabra","Habenaria_alpestris","Habenaria_spanophytica","Habenaria_itatiayae","Habenaria_fluminensis","Habenaria_hexaptera","Habenaria_repens","Habenaria_sprucei","Habenaria_bahiensis","Habenaria_warmingii","Habenaria_johannensis","Habenaria_melanopoda","Habenaria_itaculumia","Habenaria_pseudoglaucophylla","Habenaria_jaguariahyvae","Habenaria_exaltata","Habenaria_macronectar","Habenaria_cultellifolia","Habenaria_montevidensis"
"351",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"352",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"461",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"906",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827",0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"392",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
